Time ,Bandwidth
0,1.9449142857
1.2599999905,1.625742354
2.25,1.1982857143
4.3199999332,0.8391635059
5.2399997711,2.095044586
6.2599999905,2.1358797688
6.7999999523,2.3781913044
7.4199998379,2.2956641221
7.9899997711,3.2148879668
8.5099999905,3.5974325581
9.129999876,2.8658484849
9.6699998379,2.7514080718
10.3399999142,2.6978068966
10.9399998188,2.7522640777
11.5799999237,2.7871970803
12.1699998379,2.5208130081
12.8299999237,2.6011908932
13.379999876,2.8775720524
13.9499998093,2.9537777778
14.379999876,3.0972235294
15.0699999332,2.6712739496
15.5299999714,2.4594133333
16,3.158272
16.5199999809,3.4174272301
17.0799999237,3.3946384778
17.5999999046,3.4084028777
18.1799998283,2.8808961304
18.5699999332,2.8624575163
19.4099998474,2.167584
20.1999998093,2.2560573066
20.8399999142,2.35371949
21.4499998093,2.351255814
22.0799999237,2.7343970038
22.629999876,3.0383120879
23.3199999332,2.8047363184
23.9199998379,2.68296875
24.5799999237,2.4322562278
25.3199999332,2.1899295559
26.0099999905,2.3473043478
26.6399998665,2.7639550562
27.2999999523,2.1743943662
28.0999999046,2.3380169972
28.6999998093,2.7426120858
29.3399999142,2.6037012751
29.9699997902,2.5431062271
30.6199998856,2.5117676951
31.3699998856,2.3036231003
32.0599999428,2.2917014925
32.7099997997,2.3778652095
33.4799997807,2.1335131965
34.3199999332,2.0016236559
35.0899999142,1.9499228487
35.8599998951,2.0328035451
36.6199998856,2.0444431315
37.2999999523,2.2220581197
38.0799999237,2.3428853411
38.7399997711,2.4865518453
39.3099999428,2.2993542977
39.5999999046,2.2692537313
40.5999999046,2.0795915649
41.3599998951,2.0535
42.1599998474,2.0603910615
42.4899997711,2.0731715481
42.7599999905,2.0361411765
43.1799998283,2.0019631902
45.1399998665,1.9184166667
46.0399999619,2.1818109453
46.5899999142,2.3340521739
47.4199998379,2.2124432432
48.1099998951,2.2075302013
48.9199998379,2.5695910988
49.3899998665,2.848875
49.9099998474,2.8304188235
50.7699999809,2.0203076923
51.5399999619,2.2883076923
52.2699999809,2.3680250391
52.879999876,2.3644084778
53.879999876,1.7213729373
54.6599998474,2.0813744493
55.4299998283,2.2362869693
56.0499999523,2.3623619048
56.7399997711,2.4795993322
57.3999998569,2.3576529517
58.129999876,2.2153333333
58.6899998188,2.2744190065
59.4899997711,2.2417602257
59.9899997711,2.2385436893
60.5899999142,2.3639760479
61.3599998951,2.1599762611
62.3299999237,1.8204807256
63.1199998856,2.0391736012
63.9899997711,1.7996437659
64.5299999714,1.977227991
65.5299999714,1.9777226277
66.4099998474,2.0188820513
67.1999998093,1.8592690648
67.8699998856,2.0882065405
68.6199998856,2.2056918429
69.3199999332,2.2551908646
70.2099997997,2.1327313998
70.9099998474,2.2482487725
71.629999876,2.1905897436
72.3899998665,2.1216973294
73.2099997997,1.9387955801
73.9599997997,2.2228192771
74.6399998665,2.09686927
75.5599999428,1.9815606243
76.3899998665,1.9168392371
77.1399998665,2.1823389313
77.9199998379,2.0211586608
78.7299997807,1.9010769231
79.5899999142,2.0023566711
80.2799999714,2.2917014925
81.0399999619,1.9426309524
81.9699997902,1.7425820359
82.8699998856,1.8408009889
83.7399997711,1.6936185567
84.6899998188,1.5928333333
85.7599999905,1.4195774359
87,1.1402666667
88.4099998474,1.2331917494
89.4199998379,1.53287974
90.1999998093,1.6058448023
90.5899999142,1.5514285714
91.9599997997,1.4558756799
93.4299998283,1.008
94.4499998093,1.584575725
94.8699998856,1.5199018405
95.1999998093,1.4855965665
95.6699998379,1.7734782609
97.6999998093,1.8174473684
99.0899999142,1.3577213622
99.8599998951,1.5789176471
101.00999999,1.5518559242
102.159999847,1.2412150943
103.679999828,1.3084532578
104.599999905,1.3132869148
106.359999895,0.7237833935
108.359999895,0.822492569
110.199999809,0.8809202733
111.829999924,0.9851354167
112.799999952,1.4121150748
113.639999866,2.1003060403
114.329999924,2.3742311558
115.129999876,2.1634334278
115.75,2.3182056075
116.349999905,2.9123137255
117,2.3492477718
117.789999962,2.0478402283
118.419999838,1.9609981378
119.2099998,2.2770888252
119.699999809,2.3172864322
120.339999914,2.1533672727
121.099999905,2.1728716418
121.939999819,2.1466096257
122.7099998,2.1087596439
123.379999876,2.4430397237
123.869999886,2.1788855721
124.809999943,1.9261706161
125.689999819,2.0034707379
126.399999857,2.0642044728
127.109999895,1.963184466
127.949999809,1.9625913979
128.689999819,2.1268184615
129.579999924,2.1246934673
130.489999771,1.6854969325
131.419999838,1.6195829384
132.25999999,1.9220752688
133.019999981,2.1044797601
133.789999962,2.1641524927
134.329999924,2.7754067416
135.029999971,2.7015384615
135.649999857,2.6748288973
136.449999809,2.0104528833
137.289999962,1.8366878307
138.049999952,2.0906102719
138.7099998,2.6224636678
139.479999781,2.0502908012
140.2099998,2.0429546166
141.019999981,2.0125255878
141.859999895,2.0097273954
142.569999933,2.1163413849
143.4599998,1.7332594458
144.309999943,1.8235678524
145.099999905,1.8623266476
146.149999857,1.6815083333
147.089999914,1.6704226682
148.00999999,1.3310582524
148.329999924,2.0453811659
149.479999781,1.9497523413
150.239999771,2.050448737
151.019999981,2.134934877
151.319999933,2.4170146342
151.559999943,2.3388108108
151.929999828,2.3906227106
153.839999914,2.1695183246
154.699999809,2.2870612777
155.299999952,2.097
156.199999809,2.0237428925
156.909999847,2.1186602254
157.879999876,2.106654504
158.519999981,2.0296252319
159.149999857,2.2153370166
159.809999943,2.713793345
160.439999819,2.8487955801
161.059999943,2.8767452472
161.619999886,2.6446724138
162.389999866,2.3146863905
163.229999781,1.8974779117
164.25,1.6388240343
164.839999914,2.48048
165.539999962,2.4550082645
166.149999857,2.5247662835
166.75,2.8426455446
167.25,2.5253141487
168.069999933,2.2044493759
168.619999886,2.0137117904
169.25999999,2.1416853526
169.939999819,2.4633231811
170.75,2.242547486
171.46999979,2.2596248013
172.179999828,2.3000325203
172.609999895,2.5169885058
173.349999905,2.5282861586
174.039999962,2.5985610561
174.699999809,2.2911205674
175.339999914,2.2180036563
176.139999866,2.0741022727
176.799999952,2.4000555556
177.739999771,1.9944056604
178.659999847,1.6650666667
179.519999981,1.7821747067
180.299999952,2.0785232558
181.079999924,2.0432139738
181.879999876,2.0585104603
182.559999943,2.1148219178
183.519999981,1.9038523645
184.529999971,1.530968444
185.5,1.6206712018
186.409999847,1.6954041514
187.25999999,1.8282483488
188.279999971,1.633387931
188.96999979,2.30316
189.75,1.9085497076
190.689999819,1.7138468787
191.639999866,1.7356736597
192.439999819,1.8668295455
193.239999771,1.9301654979
194.019999981,2.0444431315
194.779999971,1.9343809524
195.75,1.8219503386
196.639999866,1.7841715006
197.319999933,1.8621256367
197.669999838,1.7747859922
198.739999771,1.9158609407
199.5,2.0813755656
200.379999876,1.84405
200.729999781,1.9662222222
201,1.9123977901
201.419999838,1.9837082067
203.239999771,2.1554122237
204.269999981,1.8641615303
204.939999819,1.8737591623
206.00999999,1.6774672131
206.839999914,1.7827750678
207.889999866,1.9265234619
